客户编号,线索日期,项目,城市,区域,置业顾问,获客渠道,客户等级,到访日期,认购日期,签约日期,户型,成交金额,回款金额
C0313,2026-06-23,湘湖映月,杭州,萧山,顾问10,短视频平台,A,,,,三房,,
C0395,2026-06-23,云栖澜庭,杭州,余杭,顾问03,短视频平台,B,,,,三房,,
C0312,2026-06-24,云栖澜庭,杭州,余杭,顾问02,老带新,B,2026-06-29,2026-06-30,2026-06-30,三房,2735000,2479000
C0118,2026-06-25,云栖澜庭,杭州,余杭,顾问02,渠道中介,A,2026-06-27,2026-06-30,2026-06-30,两房,2685000,2685000
C0156,2026-06-25,云栖澜庭,杭州,余杭,顾问02,渠道中介,A,,,,三房,,
C0226,2026-06-25,云栖澜庭,杭州,余杭,顾问03,房产平台,C,2026-06-29,2026-06-30,2026-06-30,改善四房,1877000,899000
C0048,2026-06-26,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,三房,,
C0291,2026-06-26,湘湖映月,杭州,萧山,顾问12,自然到访,C,2026-06-30,2026-06-30,2026-06-30,三房,2230000,2230000
C0306,2026-06-26,钱塘云筑,杭州,钱塘,顾问07,短视频平台,B,2026-06-30,,,三房,,
C0513,2026-06-26,云栖澜庭,杭州,余杭,顾问03,搜索广告,A,,,,两房,,
C0169,2026-06-27,滨江悦府,杭州,滨江,顾问04,搜索广告,A,2026-06-29,2026-06-30,2026-06-30,四房,4144000,998000
C0488,2026-06-27,湘湖映月,杭州,萧山,顾问12,自然到访,B,2026-06-30,2026-06-30,2026-06-30,四房,3616000,3616000
C0410,2026-06-29,滨江悦府,杭州,滨江,顾问05,搜索广告,A,2026-06-30,,,四房,,
C0507,2026-06-30,湘湖映月,杭州,萧山,顾问12,搜索广告,B,,,,三房,,
